"time","Gyroscope x","Gyroscope y","Gyroscope z","abs Gyroscope"
2.663083007E2,2.416670024E-1,1.208042949E-1,3.213025164E-3,2.701979668E-1
2.665086467E2,-8.973237276E-1,5.668621659E-1,1.804145426E-1,1.076602059E0
2.667089927E2,-1.709500998E-1,5.057957172E-1,2.079239488E-1,5.729621390E-1
2.669093387E2,3.018001914E-1,-8.404818773E-1,3.273135126E-1,9.511189606E-1
2.671096837E2,1.028974652E0,2.730759792E-2,-2.583933771E-1,1.061273611E0
2.673100292E2,-3.113609850E-1,4.156281650E-1,-2.219548821E-1,5.647622546E-1
2.675103752E2,1.029608026E-1,3.401091397E-1,-1.189837083E-1,3.747429474E-1
2.677107212E2,-2.394367903E-1,2.314990461E-1,4.621838629E-1,5.696803560E-1
2.679110662E2,3.563037217E-1,-2.707666159E-1,3.969046175E-1,5.981640057E-1
2.681114122E2,-8.798265457E-1,6.306084991E-1,-1.085396647E0,1.532921300E0
2.683117570E2,-3.601511419E-1,2.694396377E-1,-4.389801919E-1,6.284983471E-1
2.685121030E2,2.956568003E-1,-9.196515083E-1,-2.371680737E-1,9.946962026E-1
2.687124480E2,3.081795871E-1,1.634818912E-1,3.757089376E-1,5.126969792E-1
2.689127940E2,3.653090820E-2,3.199937046E-1,5.048400164E-1,5.988271206E-1
2.691131390E2,2.260111868E-1,6.631932855E-1,-4.181272686E-1,8.159269595E-1
2.693134850E2,-2.127239294E-2,3.292961419E-1,7.109875977E-2,3.375551768E-1
2.695138300E2,-2.001885772E-1,-6.026637554E-1,-2.018113881E-1,6.663384312E-1
2.697141760E2,8.113892674E-1,-4.686971009E-1,-2.503226995E-1,9.698922464E-1
2.699145210E2,-1.218444258E-1,-2.863949835E-1,-1.097996905E-1,3.300365476E-1
2.701148660E2,5.905470848E-1,-1.361639053E-2,6.859429181E-2,5.946733913E-1
2.703152123E2,5.108633637E-1,1.274777204E-1,2.134044021E-1,5.681314852E-1
2.705155573E2,-2.986724973E-1,1.227334589E-1,-2.969565094E-1,4.386934362E-1
2.707159023E2,-1.237053275E-1,-1.684315503E-1,3.688353896E-1,4.239242147E-1
2.709162483E2,-3.578694463E-1,-1.278323233E-1,3.536946476E-1,5.191450155E-1
2.711165933E2,-2.725901604E-1,-1.523545831E-1,3.107241392E-1,4.405301411E-1
2.713169377E2,8.884997368E-1,-1.851948947E-1,-6.244204640E-1,1.101648695E0
2.715172827E2,-1.732348204E-1,-1.347175837E-1,-3.640224934E-1,4.250547094E-1
2.717176277E2,-4.987071082E-2,-1.315470487E-1,-7.337823510E-2,1.586697173E-1
2.719179737E2,-1.412837300E-2,3.457145095E-1,3.541439176E-1,4.951121563E-1
2.721183187E2,-4.760525376E-2,2.269442677E-1,3.642801046E-1,4.318216709E-1
2.723186641E2,-4.573831856E-1,-4.969831184E-2,-3.766216636E-1,5.945697421E-1
2.725190091E2,-3.679999709E-1,1.520263851E-1,-1.621451378E-1,4.299151615E-1
2.727193541E2,-7.551084459E-2,-3.222328424E-1,-4.354492575E-2,3.338143990E-1
2.729196991E2,1.424579322E-1,5.399709940E-1,-8.847203106E-2,5.654115643E-1
2.731200441E2,-2.180542648E-1,4.938217402E-1,2.684574723E-1,6.028905273E-1
2.733203891E2,8.586969227E-2,-5.822978020E-1,-3.204453588E-1,6.701712932E-1
2.735207341E2,-2.019442916E-1,4.016495347E-1,-9.565449506E-2,4.596233546E-1
2.737210791E2,7.064525038E-2,-3.050622046E-1,-1.623100936E-1,3.527013844E-1
2.739214241E2,-3.168510199E-1,1.730243713E-1,1.768230796E-1,4.019930389E-1
2.741217691E2,-4.815100878E-2,-8.072883487E-1,1.076909341E-2,8.087947644E-1
2.743221137E2,-1.129447296E-1,-2.635366023E-1,8.023145050E-2,2.977333343E-1
2.745224587E2,-7.039890159E-3,-7.376586199E-1,-4.305801988E-1,8.541598838E-1
2.747228037E2,-3.661541641E-1,1.276932359E-1,-4.707906842E-1,6.099330313E-1
2.749231487E2,2.456140369E-1,-4.599695206E-1,1.408658326E-1,5.401309080E-1
2.751234937E2,7.956709713E-2,8.700838685E-1,4.061367214E-1,9.634956656E-1
2.753238385E2,1.742845476E-1,2.057842165E-1,3.546465635E-1,4.455293843E-1
2.755241825E2,-6.835607886E-1,5.119262338E-1,-3.589537442E-1,9.263755238E-1
2.757245275E2,2.671019435E-1,-7.507062554E-1,3.563034115E-4,7.968082938E-1
2.759248725E2,-1.495918185E-1,-1.307404786E-1,-2.238895595E-1,2.993281139E-1
2.761252165E2,2.654693723E-1,-8.865703940E-1,1.288299710E-1,9.343865435E-1
2.763255616E2,-5.089836195E-2,6.943817735E-1,2.549855709E-1,7.414676877E-1
2.765259056E2,-6.725551486E-1,-1.081146121E0,-1.808188558E-1,1.286041532E0
2.767262506E2,3.958704472E-1,8.481322527E-1,2.468727529E-1,9.679813454E-1
2.769265956E2,-2.768361568E-1,-1.863486916E-1,-4.775017500E-1,5.825564469E-1
2.771269396E2,-1.012040019E0,1.088021874E0,5.546330810E-1,1.586075173E0
2.773272843E2,2.188618332E-1,3.290922567E-2,3.638998568E-1,4.259185661E-1
